service_id,data_public,data_available
doc-patents,FALSE,TRUE
doc-trademarks,FALSE,TRUE
ed-fafsa,FALSE,TRUE
hhs-marketplace,FALSE,TRUE
hhs-medicare,FALSE,TRUE
dhs-tsa,FALSE,TRUE
dhs-cbp,FALSE,TRUE
dhs-uscis,FALSE,TRUE
dhs-fema,FALSE,TRUE
hud-fha,FALSE,TRUE
doi-ost,FALSE,TRUE
doi-fws,TRUE,FALSE
dol-osha,FALSE,FALSE
dol-deeoic,FALSE,TRUE
dos-ca,FALSE,TRUE
treas-irs,FALSE,TRUE
va-vha,TRUE,TRUE
va-vba,FALSE,TRUE
opm-fes,FALSE,TRUE
opm-rs,FALSE,TRUE
sba-fo,FALSE,TRUE
ssa-oo,FALSE,TRUE
usda-fsa,FALSE,TRUE
usda-nrcs,FALSE,TRUE
multi-rec,FALSE,TRUE
